"",ticker,名称,注册地,成立日期,行业,员工人数,公司介绍,港股通,市值(港元),股息率TTM(%),PE,PB
752,00980,联华超市股份有限公司,中国,1997-04-23,消费者主要零售商,20900.0,"联华超市股份有限公司(下称“联华超市”)隶属上海市属大型国有企业百联集团,于1991年5月设立,立足长三角,发展全中国,通过高效整合供应链,提供全品类优质商品,是具有当地精神的全渠道生活零售商。2003年,联华超市在香港上市,成为国内首家香港主板上市的连锁超市企业。旗下拥有国内着名连锁零售品牌“联华”、“世纪联华”、“快客”及“华联”,以齐全的品类、丰富的品种和本地化生活服务满足消费者日常生活所需。多年来,联华超市秉承跨区域、多业态发展策略,不断发展壮大,全国网点数接近3400家,员工数近3万名,位列国内连锁零售行业领先地位。自成立以来,联华超市获多项行业荣誉,曾连续十年排名“中国快速消费品连锁企业百强排行榜”第一。2017年,联华超市携手阿里巴巴,加快线上线下零售融合,实现“互联网+全渠道”战略布局。作为国内零售行业的知名国资企业,联华超市始终在可持续发展及企业社会责任等领域担任表率作用。2017年起,率先成为上海市总工会首批93个“户外职工爱心接力站”中的一员,向户外工作者提供温暖守护。积极投身公益事业,回馈社会,通过扶贫攻坚事业,以“爱心扶贫,消费助农”等形式,不断深入推进可持续化的精准扶贫。时值零售业蓬勃发展的今天,联华超市坚持以人为一切发展的核心,回归零售本质,从品牌驱动、渠道创新、供应保障等多个维度出发,以好商品、好体验构建人情好生活为使命,不断满足消费者对美好生活的需求,最终实现“让消费者更喜爱公司”的愿景。",False,5.474520e+08,NaN,-1.947945,4.444405
753,00981,中芯国际集成电路制造有限公司,Cayman Islands 开曼群岛（英属）,2000-04-03,半导体,19186.0,"中芯国际集成电路制造有限公司(证券代码:00981.HK/688981.SH)是世界领先的集成电路晶圆代工企业之一,也是中国大陆集成电路制造业领导者,拥有领先的工艺制造能力、产能优势、服务配套,向全球客户提供8英寸和12英寸晶圆代工与技术服务。中芯国际总部位于中国上海,拥有全球化的制造和服务基地,在上海、北京、天津、深圳建有多座8英寸和12英寸晶圆厂。中芯国际还在美国、欧洲、日本和中国台湾设立营销办事处、提供客户服务。",True,5.592364e+11,NaN,104.890019,3.351889
754,00983,瑞安建业有限公司,Bermuda 百慕大,1997-01-03,建筑,3316.0,"瑞安建业有限公司于1997年2月在香港联合交易所上市,合并了瑞安集团的建筑业务和建材业务,前者是瑞安集团于1971年成立时的本业。瑞安建业早年的业务集中在香港。于1990年代后期,本港的私人和公营建筑工程量大幅增加,造就大量商机,集团亦积极参与其中。集团的附属公司瑞安建筑和瑞安承建凭藉业务优势,于建造公营房屋和设计与施工项目方面领先业界。集团的建材业务亦受惠于建筑热潮,业务迅速发展。至1990年代末,瑞安建业一直在寻找多元化业务的机会,以长远实现可持续发展。因此,集团抢占先机,投资于中国内地的水泥厂,又成立拉法基瑞安水泥,进军西南地区水泥市场并成为业界领先企业。2005年,瑞安建业在大连收购了希望大厦,开始涉足特殊房地产项目。至今,瑞安建业于中国内地的主要和二线城市共改造了22个停建房产项目,大部份已竣工及售出。集团于2016年出售了拉法基瑞安水泥。目前,瑞安建业在建筑和房地产市场占领先地位。公司的建筑业务立足于香港多年,在公营建筑工程中继续发挥着重要作用,并成功将业务扩展至维修保养和室内装修工程。同时,瑞安建业正于中国内地积极提升旗下零售物业的资产价值。",False,1.568054e+08,NaN,-0.436784,0.080454
755,00984,永旺(香港)百货有限公司,中国香港特别行政区,1985-09-03,消费者主要零售商,8952.0,"永旺(香港)百货有限公司(‘永旺百货’)成立于1985年12月,并于1994年2月在香港联合交易所上市,主要业务为经营综合购物百货店(GMS),提供物有所值及一应俱全的日常生活用品给顾客。永旺百货于1987年在太古创立第一间JUSCO康怡店(现AEON康怡店),其后在港、九、新界各区相继开设分店。永旺百货一直以来积极发展多元化的业务及扩充市场领域,相继开设独立超级市场AEON SUPERMARKET、Living PLAZA by AEON、日式便当专门店Bento Express by AEON、室内游乐场Molly Fantasy、La Bohéme面包店及ものもの,引入种类繁多的货品及服务,为市民带来无比的方便。除此之外,永旺百货于2000年推出JUSCOCITY网上购物城(现AEONCITY),让顾客享受网上购物乐趣。目前永旺百货于香港人口密集的地区开设10间综合购物百货店(GMS)、2间独立超级市场、45间独立LivingPLAZAbyAEON、19间独立Daiso Japan、1间独立Bento Expressby AEON及3间ものもの,并于广东省开设24间GMS及13间独立超级市场。永旺百货旨在于香港发展连锁式业务,本公司力求为本地顾客提供物有所值的商品。",False,1.014000e+08,NaN,-0.263865,-0.135831
756,00986,杜甫酒业集团有限公司,Bermuda 百慕大,1993-11-03,纺织及服饰,7.0,杜甫酒业集团有限公司(原名:中国环保能源投资有限公司)是一家主要从事珠宝设计及销售业务的投资控股公司。,False,9.839762e+07,NaN,3.541648,0.266054
757,00987,中国再生能源投资有限公司,Cayman Islands 开曼群岛（英属）,2002-03-21,公用事业,92.0,"中国再生能源投资有限公司于2002年成立,中国再生能源为中国可再生能源行业其中一名外来投资者兼运营商。作为一个先驱者并拥有超过十年的经验,公司在协助国家减少碳排放及实现非化石燃料使用目标方面,担当关键角色。中国再生能源贯彻其清晰的投资策略谨慎地投资高质素的可再生能源项目,并平衡公司业务中经济、社会及环境各方面的因素,以创造股东价值。中国再生能源在筛选方面更为严格,且不会不惜代价实现增长,故中国再生能源的利用小时较全国平均水平为高,且装机容量的每兆瓦时产生的现金值居于行业前列。目前,中国再生能源拥有八座风力发电场及一个分布式太阳能项目,总容量合计为738兆瓦,而权益容量为427兆瓦。其中包括两个位于黑龙江省牡丹江,合共59.5兆瓦风力发电场(分别占86%权益及86.7%权益);两个位于内蒙古自治区四子王旗,合共99兆瓦风力发电场(占100%权益);一个位于河南省嵩县之74兆瓦风力发电场(占100%权益);一个位于河北省单晶河之200兆瓦风力发电场(占40%权益);一个位于河北省绿脑包之100.5兆瓦风力发电场(占30%权益);一个位于甘肃省昌马之201兆瓦风力发电场(占40%权益);以及一个位于浙江省南浔的4兆瓦峰分布式太阳能项目(占100%权益)。于占少数权益的项目方面,中国再生能源之合作伙伴为中国其中一家最强大之国有可再生能源公司─中国节能环保集团公司。",False,3.533682e+08,3.546099,9.476727,0.186983
758,00989,中国长白山国际控股有限公司,Bermuda 百慕大,1994-01-11,地产,163.0,"中国长白山国际控股有限公司(前称广泽国际发展有限公司)(‘华音’;连同其附属公司统称‘集团’)于一九九零年成立,并自一九九七年于香港联合交易所有限公司主板上市(股份代号:989)。集团业务覆盖物业发展管理、物业投资及零售管理服务三大领域。物业发展管理业务方面,集团于二零一三年十月完成收购中国吉林长白山地产项目35%权益,并取得项目之管理权。此综合地产项目预计将发展成涵盖六星级酒店、主题公园、独立洋房及公寓的高端度假村。有见物业投资业务的重要性渐趋显着,集团于二零一三年九月把物业投资划分为独立业务分部,集团现时之投资物业均位于香港。零售管理服务业务于上海经营21间电讯零售服务店铺,提供电信设备销售及管理服务。",False,2.701365e+08,NaN,-0.919000,-0.376709
759,00990,至源控股有限公司,Bermuda 百慕大,1993-12-31,原材料,390.0,"至源控股有限公司为一间投资控股公司。集团的主营业务是透过于台湾经营零售店面及百货公司柜位从事成衣零售业务。集团之全资附属公司台湾形颖股份有限公司,对「Theme」商标及台湾地区相关知识产权拥有独家使用权。集团的产品包括连衣裙,裤子,外套,夹克,牛仔裤,羊毛衫,T恤,衬衫,以及其他配件。集团于2006年初成功收购国内“城市俪人”品牌,2007年初代理西班牙女装品牌Mango,并成为意大利知名品牌Stefanel、纽约知名品牌Robin Howe、August Silk的中国区合作伙伴,共同开发中国市场。",True,1.302518e+10,NaN,40.236328,1.880279
760,00991,大唐国际发电股份有限公司,中国,1994-12-13,公用事业,27126.0,"大唐国际发电股份有限公司是由中国大唐集团公司控股的中外合资企业。公司成立于1994年,是第一家在伦敦上市的中国企业、第一家在香港上市的中国电力企业,第一家同时在香港、伦敦、上海三地上市的中国企业。大唐国际是中国最大的独立发电公司之一,历经28年,所属运营企业及在建项目遍及全国19个省区,经营产业以火电、水电、风电、光伏为主的发电业务,同时涉及煤炭、交通、循环经济、售电等领域,已从单一的火力发电企业成长为涉足多个领域、多种产业的综合能源上市公司。大唐国际践行""双碳""目标要求,以实现绿色低碳转型为发展方向,以""绿色低碳、多能互补、高效协同、数字智慧""为发展愿景。托电一期、蔚县一期百万新能源基地等项目扎实建设。煤电""两个联营""加快落地,保定九期、陡河热电、新余二期等一批煤电项目高质量建设。佛山热电、宝昌燃气扩建项目建成投产发电。大唐国际始终胸怀""国之大者"",认真落实国家保供要求,坚决履行能源保供责任使命,坚决守住能源保供安全底线,全力打赢能源保供遭遇战、攻坚战、持久战,稳住了能源稳定大局,彰显了""顶梁柱""""顶得住""的央企风范。",True,4.423104e+10,5.366946,7.722772,1.150345
761,00992,联想集团有限公司,中国香港特别行政区,1993-10-05,资讯科技器材,71800.0,"联想集团有限公司作为全球领先的ICT科技企业,秉承“智能,为每一个可能”的理念,为用户与全行业提供整合了应用、服务和优质体验的智能终端,强大的云基础设施以及行业智能解决方案。\n    随着科学技术的快速发展,人类社会正在经历智能化变革。智能化时代的ICT技术架构由“端-边-云-网-智”(即智能设备终端、边缘计算、云端存储及计算、网络传输技术以及智能化解决方案)构成——当“端”产生的海量数据通过“边”“云”“网”构建的智能基础架构提供的算力,对各行业的现行机理加以学习、总结、提炼,进而通过智能设备对业务和决策流程进行有效的管理,就实现了对传统行业的智能化赋能。公司是全球范围内极少数具备“端-边-云-网-智”全栈式产品和服务供应能力的厂商之一:在智能终端领域,公司拥有丰富的产品组合,在全球多个国家及地区拥有大规模的硬件安装基数;在边缘计算及云计算领域,公司能够为客户提供低功耗、高性能、适应严酷环境的边缘计算服务器;在云端存储及计算领域,公司可提供面向从传统企业客户到云运营商超大规模客户,从私有云、公有云到混合云等众多形态与规模的数据中心设备产品;在网络通信技术领域,公司致力于推动网络、通信基础设施建设和升级,并实现网络关键技术设备自主创新和国产化;在智能化解决方案领域,公司以业务智能化转型为目标,重点发展以行业智能为核心的产品与服务体系,致力于成为行业智能及数字转型的引领者。\n    公司秉承3S发展战略,从SmartIoT(智能物联网)、SmartInfrastructure(智能基础架构)、SmartVertical(行业智能)三个维度出发,利用自身丰富的智能终端入口场景,依托现有产品在“边-云-网”智能基础架构层面的优势,最终实现为垂直行业进行智能化赋能的目标。",True,1.153633e+11,4.193548,9.992008,2.096354
762,00993,信控国际资本有限公司,Bermuda 百慕大,1994-03-08,其他金融,10.0,"信控国际资本有限公司(“信控国际资本”,股份代号:993.HK)是中国中信金融资产管理股份有限公司(“中国中信金融资产”,股份代号:2799.HK)旗下香港上市公司。公司前身可追溯至成立于1973年的一家香港本地券商,1994年2月在香港联交所主板上市,2015年10月更名为华融金控,随后于2025年2月更名为信控国际资本。信控国际资本在港之全资附属持牌子公司包括信控国际证券有限公司(持有香港证监会颁发的1、4号牌照)、信控国际融资有限公司(持有香港证监会颁发的1、6号牌照)以及信控国际资产管理有限公司(持有香港证监会颁发的9号牌照),业务分别为证券业务、企业融资业务、资产管理业务三大类,并依托控股股东中国中信金融资产的雄厚实力,充分发挥在资产管理和金融服务领域的专业优势,为客户提供一站式的高质量综合金融产品和服务。",False,1.123537e+09,NaN,-1.037293,-0.124359
763,00994,中天宏信(国际)控股有限公司,Cayman Islands 开曼群岛（英属）,2015-10-05,公用事业,24.0,"中天宏信(国际)控股有限公司,香港联交所主板上市股票代码00994.HK。中天顺联(国际)控股有限公司前身为恒诚建筑控股有限公司,主要于香港提供地基工程及配套服务,公司于2017年7月17日在香港主板上市。2019年1月25日,中天宏信投资有限公司收购上市公司约51%已发行股份,成为上市公司控股股东。\r\n中天顺联(国际)控股有限公司控股子公司浙江中宏顺联网络科技有限公司主要从事电商零售业务,及为电商公司提供在线线下咨询服务业务。\r\n中天顺联(国际)控股有限公司全资子公司忠天新能源开发有限公司,专注于新能源能源及智慧能源领域的投资、开发及运营。忠天新能源电站事业中心和电站运维中心设于南京,投融资中心设于香港、台湾及深圳,逐步形成清洁能源项目开发、新能源项目设计施工、户用光伏以及园区、城市能源结构规划四大业务板块。忠天新能源自成立以来,已完成新能源设计、勘察、施工的相关资质申报9项,旗下拥有专业EPC公司,拥有新能源、电力等设计、勘察及施工满足分布式光伏电站EPC业务的全部资质,曾先后与北控清洁能源、中石化、京东方、航天机电等大型央企上市公司签署战略合作协议,并主导多个大型央企、民营企业等施工管理、EPC总承包业务。",False,3.666320e+08,NaN,-18.644832,3.322748
764,00995,安徽皖通高速公路股份有限公司,中国,1996-08-15,工用运输,2064.0,"安徽皖通高速公路股份有限公司(“本公司”)于1996年8月15日在中华人民共和国安徽省注册成立,是中国第一家在香港上市的公路公司,亦为安徽省内唯一的公路类上市公司。1996年11月13日本公司发行的4.9301亿股H股在香港联合交易所有限公司上市。2003年1月7日本公司发行的2.5亿股A股在上海证券交易所上市。本公司的主营业务为投资、建设、运营及管理安徽省境内的部分收费公路。本公司通过投资建设、收购或合作经营等多种方式获得经营性公路资产,为过往车辆提供通行服务,按照收费标准收取车辆通行费,并对运营公路进行养护维修和安全维护。收费公路是周期长、规模大的交通基础设施,具有资金密集型特点,投资回收期长,收益相对比较稳定。本公司拥有合宁高速公路(G40沪陕高速合宁段)、205国道天长段新线、高界高速公路(G50沪渝高速高界段)、宣广高速公路(G50沪渝高速宣广段)、广祠高速公路(G50沪渝高速广祠段)、宁淮高速公路天长段、连霍公路安徽段(G30连霍高速安徽段)、宁宣杭高速公路、岳武高速安徽段和安庆长江大桥等位于安徽省境内的收费公路全部或部分权益。此外,因高速公路呈网络运营的特点,本公司还为安徽交控集团及其子公司提供部分路段的委托代管服务(包含收费管理、养护管理、信息及机电技术管理、路产安全管理等),代管高速公路总里程约4163公里。此外,本公司还积极探索及尝试高速公路沿线广告业务、类金融业务以及基金投资业务等,以进一步拓展盈利空间并实现公司的可持续性发展。",True,2.308308e+10,4.892672,12.354702,1.694422
765,00997,普汇中金国际控股有限公司,Bermuda 百慕大,1999-10-29,地产,151.0,"普汇中金国际控股有限公司是一家提供综合金融服务和创新解决方案的集团,为处于初创、增长到成熟等不同发展阶段的客户,提供相应的定制性创新融资方案。于香港联合交易所主板上市的普汇中金(股份代号:0997),借着香港作为发展蓬勃的金融中心枢纽的优势,向全中国和世界各地拓展业务。集团正在整合国际创新伙伴网络资源,建立一个植根中国兼具全球触角的产业生态圈。集团通过旗下持牌公司为中国中小企业提供多元化的类金融服务,包括融资担保、融资租赁、商业保理和供应链金融等。集团子公司曼睿作为一家总部位于香港的国际商业银行,集团有效连接国际金融市场,为中国及海外客户提供投资银行、财务顾问和资产管理服务。普汇中金与中国省市政府的紧密合作,同时通过与各家大学、行业领袖和企业家,以及总部位于矽谷的全球创新平台OneValley等建立的战略合作伙伴关系,构建植根中国兼具全球触角的创新金融产业生态圈,为中国高增长企业的发展提供创新的解决方案,赋能中国长期、可持续的经济转型。",False,3.390934e+07,NaN,-0.143291,0.099339
766,00998,中信银行股份有限公司,中国,1987-04-20,银行,65248.0,"中信银行股份有限公司成立于1987年,是中国改革开放中最早成立的新兴商业银行之一,是中国最早参与国内外金融市场融资的商业银行,并以屡创中国现代金融史上多个第一而蜚声海内外,为中国经济建设作出了积极贡献。2007年4月,本行实现在上海证券交易所和香港联合交易所A+H股同步上市。本行依托中信集团“金融+实业”综合禀赋优势,以全面建设“四有”[“四有”即:有担当、有价值、有特色、有温度。]银行、跨入世界一流银行竞争前列为发展愿景,坚持诚实守信、以义取利、稳健审慎、守正创新、依法合规,以客户为中心,通过实施“五个领先”[“五个领先”即:领先的财富管理银行、领先的综合融资银行、领先的交易结算银行、领先的外汇服务银行、领先的数字化银行。]银行战略,打造有特色、差异化的中信金融服务模式,向政府与机构客户、企业客户和同业客户提供公司银行业务、投资银行业务、国际业务、交易银行业务、托管业务、金融市场业务等综合金融解决方案;向个人客户提供财富管理业务、个人信贷业务、信用卡业务、私人银行业务、养老金融业务、出国金融业务等多元化金融产品及服务,全方位满足政府与机构、企业、同业及个人客户的综合金融服务需求。截至2024年末,本行在国内153个大中城市设有1,470家营业网点,在境内外下设中信国际金融控股有限公司、信银(香港)投资有限公司、中信金融租赁有限公司、信银理财有限责任公司、中信百信银行股份有限公司、阿尔金银行和浙江临安中信村镇银行股份有限公司7家附属机构。其中,中信国际金融控股有限公司子公司中信银行(国际)有限公司在香港、澳门、纽约、洛杉矶、新加坡和中国内地设有31家营业网点和2家商务理财中心。信银(香港)投资有限公司在香港和境内设有3家子公司。信银理财有限责任公司为本行全资理财子公司。中信百信银行股份有限公司为本行与百度联合发起设立的国内首家独立法人直销银行。阿尔金银行在哈萨克斯坦设有7家营业网点和1家私人银行中心。本行深刻把握金融工作政治性、人民性,始终在党和国家战略大局中找准金融定位、履行金融职责,坚持做国家战略的忠实践行者、实体经济的有力服务者和金融强国的积极建设者。成立37年来,本行已成为一家具有强大综合实力和品牌竞争力的金融集团。",True,4.050968e+11,5.418154,5.396776,0.514842
767,00999,小菜园国际控股有限公司,Cayman Islands 开曼群岛（英属）,2021-10-19,旅游及消闲设施,12498.0,"小菜园国际控股有限公司餐饮品牌成立于2013年,是国内快速发展的大众便民中式餐饮领导者。公司秉承“感恩、责任、成长、共赢”的文化理念,以母亲的味道和亲民的价格,为顾客提供绿色、健康、养生的菜肴,以及优质的服务。小菜园餐饮自创办以来,始终坚持用匠心做菜、用真心服务、用爱心呵护家人,在十一年时间迅速发展,目前已在北京、上海、安徽、江苏、浙江、湖北、广东、河南、山东、江西等地区拥有超过680+家直营门店,并成为万达、华润万象、吾悦及永旺等知名商业综合体的优秀合作伙伴。同时,小菜园致力于全冷链仓储物流供应链体系的建设,以“采购规模化、仓储标准化、配送现代化”为宗旨,为全国一线门店提供食材统一采购、仓储和配送的一站式保障服务,公司自建全冷链物流仓储体系,目前在铜陵、南京、南通、无锡、上海、徐州、合肥、杭州、廊坊、武汉、郑州、深圳及镇江已建立14个分仓,并自建专门的运输车队,形成了较为完善的大型物流供应链体系。小菜园于2024年1月完成两轮融资,不断优化标准化管理和数字化发展。公司凭借深刻的市场洞察力与现代化管理模式战略性地抓住快速发展的大众便民中式餐饮市场的增长机遇,形成了竞争优势和‘护城河’,努力将自身打造成具有现代化科学管理体系的国际一流连锁餐饮集团。2024年12月20日,小菜园在香港交易所成功上市,股票代码:0999.HK。",True,1.030630e+10,6.576484,13.975316,3.961484
768,01000,北青传媒股份有限公司,中国,2001-05-28,媒体及娱乐,346.0,"北青传媒股份有限公司(以下简称“北青传媒”)成立于2001年5月28日,是以《北京青年报》为核心产品的现代传媒集团。北青传媒涉足媒体、体育、教育、旅游、影视、文化等多个领域。2004年12月22日,北青传媒(股票代码1000)在香港H股挂牌上市,成为中国内地传媒企业香港上市第一股。为实现战略转型,应对传播环境的深刻变化,2013年本公司投资设立了北青社区文化传媒(北京)有限责任公司,负责运营《北青社区报》。2016年3月顺应发展需要,更名为“北青社区传媒科技(北京)股份有限公司”。在巩固现有业务的同时,本公司以影视剧投资为抓手,推动影视文化产业板块的发展。北青传媒影视具有媒体基因,在内容建设和判断方面具有先天优势,通过近几年的操作实践,北青传媒一方面更加坚定的探索精品化开发弘扬主流价值观的影视项目;一方面关注播出平台的变化,开发适应网络播出平台的作品,参与网络影视项目。未来,北青传媒影视将继续以投资创作以建设性视角展现历史和生活的精品影视项目为主。",False,1.479825e+08,NaN,-11.588429,0.206650
769,01001,沪港联合控股有限公司,Bermuda 百慕大,1994-01-12,一般金属及矿石,258.0,"沪港联合控股有限公司(‘沪港联合’,前称万顺昌集团有限公司)于1961年成立,并自1994年起在香港联合交易所主板上市(股份代号1001.HK)。\r\n沪港联合的业务发展最初立足于建筑钢材贸易,目前是香港最大的建筑钢铁供货商之一,公司也是首家公司在香港的场外自动化钢筋加工厂。\r\n经过不断的创新与整合,沪港联合已经发展成为一家多元化的中港企业,专注发掘粤港澳大湾区与长江叁角发展区的拓展潜力,其业务涵盖叁大板块:房地产投资及基金运营、建筑材料分销、以及钢铁分销及加工。",False,2.546033e+08,8.750000,2.906829,0.238496
770,01002,威铖国际集团有限公司,Cayman Islands 开曼群岛（英属）,2001-07-09,工业工程,858.0,"威铖国际集团有限公司是一家提供综合性制造服务的企业,主要从事模具设计和制造,生产注塑产品和电子装配组件。多年来,公司秉承客户至上、品质第一、精益求精、技术创新的宗旨,重视团队精神,追求以人为本的管理理念,在全球范围内寻求与建立良好的贸易合作伙伴关系。公司的制造业服务范围已从塑料成型,电子装配产品延伸到高端的多媒体产品和高科技含量的通讯产品。公司的目标是不断地拓展业务,为公司的客户提供更优质的产品和服务。珠海威士茂通过一站式的制造服务与完善的物流系统,为客户提供一个具有吸引力、垂直统一管理的解决方案。这一战略,为公司的客户提供供应链一体化解决方案,让公司的客户最大限度地参与竞争,赢得市场份额。除了具备卓越的生产制造服务之外,威铖国际集团还为旗下员工提供一个舒适温馨的办公生活环境,确保每位员工住得舒心吃得开心过得顺心。",False,1.431318e+08,NaN,23.918789,0.255265
771,01003,欢喜传媒集团有限公司,Bermuda 百慕大,1994-02-04,媒体及娱乐,85.0,"欢喜传媒集团有限公司是一家创新性影视内容投资、制作及流媒体播放平台公司,由董平、宁浩、徐峥和项绍琨先生于2015年联合创办,并在香港联交所上市(1003.HK)。欢喜传媒开创新的股权结构,将股东导演与公司的长远利益紧密结合,以原创为基础、精品为目标,为中国影视市场贡献优质内容。欢喜传媒与中国多位导演建立深度合作,已锁定宁浩、徐峥、陈可辛、王家卫、张一白、顾长卫、张艺谋、贾樟柯、黄渤等未来多年的多部作品,拥有众多中国影视剧原创内容资源,旨在为高速发展的中国影视行业不断贡献精品内容。欢喜传媒旗下流媒体播放平台——欢喜首映(huanxi.com)已于2017年内测上线,并于2019年3月随电影《疯狂的外星人》上线试运营。作为会员制与收费点播相结合的精选电影平台,欢喜首映覆盖PC、移动、电视三大终端,秉承“简约、轻奢、无广告”的运营理念,为互联网用户甄选海内外优质影视节目。2018年,欢喜传媒牵手猫眼,共同在线上线下展开多维深度合作。双方充分发挥资源优势,推动彼此的业务发展。2019年,欢喜传媒与中央宣传部电影卫星频道节目制作中心(CCTV6)旗下电影新媒体平台1905电影网达成战略合作,在1905电影网手机客户端共同建立“欢喜首映”联合运营专区,发展联合会员。同年,百视通电视终端接入欢喜首映平台影视作品。通过与百视通的战略合作,欢喜首映就此打通流媒体与电视媒介,实现更广的渠道覆盖,为各端用户提供精选内容服务。2020年起,欢喜传媒先后与字节跳动、哔哩哔哩、华为视频、小米视频、芒果TV、极米投影仪、创维电视、海信电视、TCL电视、康佳电视等达成战略合作,获得更多渠道支持。",False,1.042095e+09,NaN,-3.803251,0.961007
772,01004,中国智慧能源集团控股有限公司,Bermuda 百慕大,1997-08-08,公用事业,16.0,中国智慧能源集团控股有限公司主要从事太阳能业务及投资业务。,False,9.843069e+06,NaN,-0.043688,-0.008526
773,01005,美力时集团有限公司,Bermuda 百慕大,1993-11-24,家庭电器及用品,2200.0,"美力时集团有限公司为一家规模庞大、主要从事制模、制造至设计等垂直综合生产工序的塑胶、合金及毛绒玩具制造商以及照明产品之制造商。目前,本集团于越南运营四间厂房。于二零二三年十二月三十一日,本集团在香港、中国、越南、澳洲、美国、加拿大、墨西哥及欧洲约有2,310名雇员。多年从事塑胶玩具设计、制造及销售业务之玩具公司Shelcore及Funrise集团以及两间海外照明业务公司分别于二零零五年、二零零七年及二零一七年合并入本集团。",False,2.646712e+08,5.714286,-1.166955,0.569355
774,01007,龙辉国际控股有限公司,Cayman Islands 开曼群岛（英属）,2009-10-15,旅游及消闲设施,252.0,"龙辉国际控股有限公司主要於中国以「辉哥」及「小辉哥火锅」品牌从事火锅餐厅业务。以「辉哥」品牌经营的餐厅,主要视高收入群组为目标客户;而以「小辉哥火锅」品牌经营的餐厅,则主攻中等收入群组。本集团於2016年获中国饭店协会评为中国十大火锅品牌,而「小辉哥火锅」更曾获中国烹饪协会评为「二零一七年度中国火锅百强企业」。",False,1.327150e+07,NaN,-0.679521,-0.071686
775,01008,力图控股有限公司,Cayman Islands 开曼群岛（英属）,2008-11-11,工用支援,401.0,"力图控股有限公司(简称""力图控股"")成立于1990年12月22日,是一家致力于高端印刷与包装的跨国性投资控股集团公司,于2009年3月30日在香港联合交易所主板上市,股份代码1008.HK。励精图治三十载,力图控股在烟草包装领域独具特色,享有专业声誉,先后服务于中国大陆多家重点骨干烟草品牌,提供专业设计、生产及品牌价值提升等一体化解决方案,获得客户高度好评。力图控股致力于企业文化的提升与打造,提倡狼性文化,以“敢、创、干“为企业精神,不断完善管理体系,提高企业战略优势,励图打造百年企业,争创百年品牌。力图控股行使定方向、选人才、配资源、强考核的职能,为下属企业提供资金、品牌、技术、管理、文化等有力支持,推动下属企业快速成长。传承、创新、发展——无论是过去、现在还是未来,力图控股都将坚持以社会责任为己任,通过广泛合作实现共赢,不断开拓进取、追求卓越。",False,3.292558e+08,9.523810,6.016222,0.153064
776,01009,国际娱乐有限公司,Cayman Islands 开曼群岛（英属）,2000-04-14,旅游及消闲设施,1312.0,"国际娱乐有限公司是一家投资控股公司。该公司的业务包括酒店运营以及出租用於博彩及相关休闲娱乐活动的物业。该公司通过两大部门运营:酒店部门及租赁部门。酒店部门包括酒店业务的经营。租赁部门出租配备有娱乐设施的投资物业。该公司的子公司包括Lucky Genius Limited、Fortune Growth Overseas Limited、Maxprofit International Limited和CTF Hotel and Entertainment, Inc.等。",False,1.423924e+09,NaN,-5.046779,1.841846
777,01010,天玺曜11有限公司,Bermuda 百慕大,1994-01-07,工业工程,35.0,天玺曜11有限公司是一家主要从事集成电路及半导体零件的设计、分销及贸易业务的香港投资控股公司。该公司通过两大分部运营。香港总部从事公司行政及投资职能业务。集成电路设计及销售分部通过子公司上海新茂半导体有限公司设计及销售用于工业及家居量测工具的集成电路产品。上海新茂半导体有限公司还提供相关代理服务。该公司主要在中国开展业务。,False,3.998648e+07,NaN,-0.232617,-0.254996
778,01011,中国泰凌医药集团有限公司,Cayman Islands 开曼群岛（英属）,2010-03-01,药品及生物科技,21.0,"中国泰凌医药集团有限公司(简称:泰凌集团),始创于1995年,在2011年香港主板上市。公司与诸多的跨国医药企业及国内知名企业建立了长期良好的合作伙伴关系,主要的国际合作伙伴包括葛兰素史克(GSK)、辉瑞(Pfizer)、赛诺菲巴斯德(Sanofi-Pasteur)、诺华(Novartis)等,曾为中国最大的全面综合疫苗供应链及推广销售服务商,以及第二大第三方药品推广和销售服务商。\r\n公司前十年主要作为疫苗服务商,分销国内外制造商生产的超19种疫苗。占中国Ⅱ类疫苗市场份额23.4%,直接覆盖中国约79%的疾病预防控制中心及72%的城市免疫接种点。\r\n2008年7月泰凌集团获得TPG(德州太平洋集团)的战略投资。2011年4月20日在UBS(瑞银集团)和GoldmanSachs(高盛集团)的保荐下,中国泰凌医药集团有限公司在香港证券交易所主板上市,每股发行价4.54港元。\r\n泰凌集团上市后,公司战略调整成为一家围绕骨科、精神、肝病和肿瘤药物研发、生产、销售一体化的综合性医药企业,发挥企业资源和管理优势。泰凌集团过往在骨病治疗领域已持续经营超过8年,服务各类骨病终端医疗机构超1万家以上,拥有丰富的终端医药推广、优秀团队管理经验以及渠道网络资源。从2023年起将通过聚焦公司的核心能力和资源,创新打造“专业骨病健康平台”,新建涵盖骨病药品和健康产品的供应&推广、康复管理及数字医疗全程闭环式治疗与管理平台业务模块。",False,5.056845e+08,NaN,-6.577497,-1.665573
779,01013,伟俊集团控股有限公司,Bermuda 百慕大,1996-11-28,资讯科技器材,10.0,伟俊集团控股有限公司为一间投资控股公司。本集团之业务主要为:(i)透过生产软件进行网络及系统整合以及提供解决方案及相关服务;(ii)买卖通讯产品;(iii)提供财务服务;(iv)投资控股;(v)证券投资;及(vi)提供电讯基建解决方案服务。,False,1.738032e+08,NaN,-18.887546,-0.786586
